element,attr,description,component,animatable,value,value.def
rect,xy,"xy =v is equivalent to  x=v[1], y=v[2]",x|y,yes.,<coordinate>,"The x.axis coordinate of the side of the rectangle which has the smaller x.axis coordinate value in the current user coordinate system. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
svg,xy,"xy =v is equivalent to  x=v[1], y=v[2]",x|y,yes.,<coordinate>,"(Has no meaning or effect on outermost svg elements.) The x.axis coordinate of one corner of the rectangular region into which an embedded 'svg' element is placed. If the attribute is not specified, the effect is as if a value of '0' were specified."
tref,xy,"xy =v is equivalent to  x=v[1], y=v[2]",x|y,yes.,<list.of.coordinates>,"If a single <coordinate> is provided, then the value represents the new absolute X coordinate for the current text position for rendering the glyphs that correspond to the first character within this element or any of its descendants. If a comma. or space.separated list of n <coordinate>s is provided, then the values represent new absolute X coordinates for the current text position for rendering the glyphs corresponding to each of the first n characters within this element or any of its descendants. If more <coordinate>s are provided than characters, then the extra <coordinate>s will have no effect on glyph positioning. If more characters exist than <coordinate>s, then for each of these extra characters. (a) if an ancestor 'text' or 'tspan' element specifies an absolute X coordinate for the given character via an 'x' attribute, then that absolute X coordinate is used as the starting X coordinate for that character (nearest ancestor has precedence), else (b) the starting X coordinate for rendering the glyphs corresponding to the given character is the X coordinate of the resulting current text position from the most recently rendered glyph for the current 'text' element. If the attribute is not specified. (a) if an ancestor 'text' or 'tspan' element specifies an absolute X coordinate for a given character via an 'x' attribute, then that absolute X coordinate is used (nearest ancestor has precedence), else (b) the starting X coordinate for rendering the glyphs corresponding to a given character is the X coordinate of the resulting current text position from the most recently rendered glyph for the current 'text' element."
tspan,xy,"xy =v is equivalent to  x=v[1], y=v[2]",x|y,yes.,<list.of.coordinates>,"If a single <coordinate> is provided, then the value represents the new absolute X coordinate for the current text position for rendering the glyphs that correspond to the first character within this element or any of its descendants. If a comma. or space.separated list of n <coordinate>s is provided, then the values represent new absolute X coordinates for the current text position for rendering the glyphs corresponding to each of the first n characters within this element or any of its descendants. If more <coordinate>s are provided than characters, then the extra <coordinate>s will have no effect on glyph positioning. If more characters exist than <coordinate>s, then for each of these extra characters. (a) if an ancestor 'text' or 'tspan' element specifies an absolute X coordinate for the given character via an 'x' attribute, then that absolute X coordinate is used as the starting X coordinate for that character (nearest ancestor has precedence), else (b) the starting X coordinate for rendering the glyphs corresponding to the given character is the X coordinate of the resulting current text position from the most recently rendered glyph for the current 'text' element. If the attribute is not specified. (a) if an ancestor 'text' or 'tspan' element specifies an absolute X coordinate for a given character via an 'x' attribute, then that absolute X coordinate is used (nearest ancestor has precedence), else (b) the starting X coordinate for rendering the glyphs corresponding to a given character is the X coordinate of the resulting current text position from the most recently rendered glyph for the current 'text' element."
text,xy,"xy =v is equivalent to  x=v[1], y=v[2]",x|y,yes.,<list.of.coordinates>,"If a single <coordinate> is provided, then the value represents the new absolute X coordinate for the current text position for rendering the glyphs that correspond to the first character within this element or any of its descendants. If a comma. or space.separated list of n <coordinate>s is provided, then the values represent new absolute X coordinates for the current text position for rendering the glyphs corresponding to each of the first n characters within this element or any of its descendants. For additional processing rules, refer to the description of the 'x' attribute on the 'tspan' element. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
use,xy,"xy =v is equivalent to  x=v[1], y=v[2]",x|y,yes.,<coordinate>,"The x.axis coordinate of one corner of the rectangular region into which the referenced element is placed. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
fePointLight,xyz,"xyz =v is equivalent to  x=v[1], y=v[2], z=v[3]",x|y|z,yes.,<number>,"X location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified."
feSpotLight,xyz,"xyz =v is equivalent to  x=v[1], y=v[2], z=v[3]",x|y|z,yes.,<number>,"X location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified."
line,x12,"x12 =v is equivalent to  x1=v[1], x2=v[2]",x1|x2,yes.,<coordinate>,"The x.axis coordinate of the start of the line. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
line,xy1,"xy1 =v is equivalent to  x1=v[1], y1=v[2]",x1|y1,yes.,<coordinate>,"The x.axis coordinate of the start of the line. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
linearGradient,x12,"x12 =v is equivalent to  x1=v[1], x2=v[2]",x1|x2,yes.,<coordinate>,"'x1', 'y1', 'x2' and 'y2' define a gradient vector for the linear gradient. This gradient vector provides starting and ending points onto which the gradient stops are mapped. The values of 'x1', 'y1', 'x2' and 'y2' can be either numbers or percentages. If the attribute is not specified, the effect is as if a value of '0' were specified."
linearGradient,xy1,"xy1 =v is equivalent to  x1=v[1], y1=v[2]",x1|y1,yes.,<coordinate>,"'x1', 'y1', 'x2' and 'y2' define a gradient vector for the linear gradient. This gradient vector provides starting and ending points onto which the gradient stops are mapped. The values of 'x1', 'y1', 'x2' and 'y2' can be either numbers or percentages. If the attribute is not specified, the effect is as if a value of '0' were specified."
line,xy2,"xy2 =v is equivalent to  x2=v[1], y2=v[2]",x2|y2,yes.,<coordinate>,"The x.axis coordinate of the end of the line. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
linearGradient,xy2,"xy2 =v is equivalent to  x2=v[1], y2=v[2]",x2|y2,yes.,<coordinate>,"See 'x1'. If the attribute is not specified, the effect is as if a value of '100' were specified."
line,y12,"y12 =v is equivalent to  y1=v[1], y2=v[2]",y1|y2,yes.,<coordinate>,"The y.axis coordinate of the start of the line. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
linearGradient,y12,"y12 =v is equivalent to  y1=v[1], y2=v[2]",y1|y2,yes.,<coordinate>,"See 'x1'. If the attribute is not specified, the effect is as if a value of '0' were specified."
feTurbulence,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
feConvolveMatrix,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
feDiffuseLighting,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
feOffset,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
filter,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
feBlend,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
feColorMatrix,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
feComponentTransfer,cxy,coordinates of center,x|y,yes,"<x-coordinate,y-coordinate>",coordinates of center
feComposite,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center
feDisplacementMap,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center
feFlood,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center
feGaussianBlur,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center
feImage,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center
feMerge,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center
feMorphology,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
feSpecularLighting,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
feTile,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
svg,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
foreignObject,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
image,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
mask,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
pattern,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
rect,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
use,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
text,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
textPath,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
tspan,cxy,coordinates of center,x|y,yes,Coordinate-pair,coordinates of center expressed as a vector
linearGradient,colors,a sequence of colors,stop,yes,color sequence,a sequence of colors expressed as a vector
linearGradient,offsets,a sequence of color stop positions,stop,yes,stop position sequence,a sequence of color stop positions
radialGradient,colors,a sequence of colors,stop,yes,color sequence,a sequence of colors expressed as a vector
radialGradient,offsets,a sequence of color stop positions,stop,yes,stop position sequence,a sequence of color stop positions
